Paper_number,Authors,Paper_date,Lat,Lon,Continent,Country,loc_Name,mean_rate_mm_yr,max_rate_mm_yr,Category,Study_period
23,Liu et al.,2008,31.2222,121.4581,Asia,China,Shanghai,11,NA,Groundwater,1992-2002
p22,Fadhillah et al.,2020,37.611812,126.834585,Asia,South Korea,Seoul,10.25,NA,Urbanization,2017-2020
p49,Xu et al.,2018,38.790556,-122.755833,North_Am,USA,The Geysers,10,17,Geothermal,1992-2010
60,W√∂ppelmann et al.,2013,31.1508,29.9,Africa,Egypt,Alexandria,10,NA,Natural Compaction,2003-2011
p38,Bekaert et al.,2019,38,-122,North_Am,USA,"Sacramento Delta, CA",9.2,160,Natural Compaction,2009-2015
z21,Nobile et al.,2017,32.898273,131.08739,Asia,Japan,"Aso Caldera, Mt. Aso",9,NA,Tectonic,1996-1998
p20,Catalao et al.,2020,1.3521,103.8198,Asia,Singapore,Puggol Timor Island,9,NA,Urbanization,2011-2016
87,Zhang et al.,2012,33.9617,-118.3531,North_Am,USA,Inglewood,9,NA,Oil & Gas,1995-2000
27,Fruneau and Sarti,2000,48.8534,2.3488,Europe,France,Paris,8.82,NA,Groundwater,1993-1996
148,Karila et al.,2005,60.4515,22.2687,Europe,Finland,Turku,8.5,NA,Urbanization,1992-2002
p22,Fadhillah et al.,2020,37.523615,127.205857,Asia,South Korea,Seoul,8.42,NA,Urbanization,2017-2020
z25,Hole et al.,2007,-38.162701,176.257731,New Zealand,New Zealand,Rotorua geothermal field,8,NA,Geothermal,1996-1998
86,Minh et al.,2015,10.823,106.6296,Asia,Vietnam,Ho Chi Minh City,8,70,Groundwater,2006-2010
5,Ezquerro et al.,2014,40.4165,-3.7026,Europe,Spain,Madrid,7.5,NA,Groundwater,1992-2000
p22,Fadhillah et al.,2020,37.438967,126.786755,Asia,South Korea,Seoul,7.34,NA,Urbanization,2017-2020
116,Francesca et al.,2014,46.2931,0.1156,Europe,Italy,Rome,7,NA,Urbanization,2011-2013
114,Aly et al.,2009,30.0626,31.2497,Africa,Egypt,Cairo,7,NA,Groundwater,1993-2000
z11,Ojha et al.,2020,33.448376,-112.07404,North_Am,USA,"Phoenix, AZ",6,NA,Groundwater,2014-2017
63,Canova et al.,2012,37.075474,15.286586,Europe,Italy,Siracusa,6,NA,Groundwater,1992-2000
26,Seleem et al.,2011,27.911697,34.332424,Africa,Egypt,Namma and Sharm El-Sheikh,6,7,Groundwater,2003-2009
140,Chatterjee et al.,2006,22.5626,88.363,Asia,India,Kolkata,5.75,NA   ,Groundwater,1992-1998
216,Huang et al.,2016,30.1829,66.998,Asia,Pakistan,Quetta,5.5,5.8,Groundwater,2003-2010
z28,Herrera et al,2010,37.987,-1.13,Europe,Spain,Murcia,5,35,Groundwater,2008-2009
z25,Hole et al.,2007,-38.529663,175.926257,New Zealand,New Zealand,Mokai geothermal field,5,NA,Geothermal,1999-2000
z23,Doin et al.,2015,31.819278,89.165825,Asia,Tibet,Siling Co Lake,5,NA,Tectonic,1992-2011
z11,Ojha et al.,2020,36.114647,-115.17281,North_Am,USA,"Las Vegas, NV",5,NA,Groundwater,2014-2020
z09,Bekesi et al.,2019,29.684037,-97.449412,North_Am,Mexico,Los Humeros Geothermal,5,8,Geothermal,2003-2007
z03,Miller and Shirzaei,2019,29.749907,-95.358421,North_Am,USA,"Houston-Galveston, TX",NA,34,Groundwater,2015-2017
z03,Miller and Shirzaei,2019,29.749907,-95.358421,North_Am,USA,"Houston-Galveston, TX",NA,49,Groundwater,2007-2011
p20,Catalao et al.,2020,1.3521,103.8198,Asia,Singapore,Johor City,5,NA,Urbanization,2011-2016
137,Stramondo et al.,2008,46.2931,0.1156,Europe,Italy,Rome,5,10,Urbanization,1995-2000 /2002-2005
63,Canova et al.,2012,37.250633,15.092728,Europe,Italy,Villasmundo,5,NA,Groundwater,1992-2000
z15,Li et al.,2020,42.983612,-81.249725,North_Am,Canada,"Ontario, Lake Erie Lake Ontario",4.5,5,Tectonic,2013-2017
63,Canova et al.,2012,37.157858,15.183701,Europe,Italy,Priolo,4.5,NA,Groundwater,1992-2000
26,Seleem et al.,2011,27.915817,34.32995,Africa,Egypt,Sharm El-Sheikh,4.5,5,Groundwater,2003-2009
z31,Sherpa et al.,2023,37.06417,-76.388531,North_Am,USA,Chesapeake Bay,4.25,5.5,Groundwater,2007-2020
17,Sharma et al.,2014,19.0728,72.8826,Asia,India,Mumbai,4.02,39.2,Groundwater,1992-2010
148,Karila et al.,2005,60.1695,24.9354,Europe,Finland,Helsinki,3.85,NA,Urbanization,1992-2002
z15,Li et al.,2020,43.466667,-80.51667,North_Am,Canada,"Ontario, Lake Erie Lake Ontario",3.5,4,Tectonic,2013-2017
z11,Ojha et al.,2020,38.846127,-104.80064,North_Am,USA,"Colorado Springs, CO",3.5,NA,Groundwater,2014-2020
58,Jiang and Lin,2010,22.2855,114.1577,Asia,China,Hong Kong Airport,3.5,NA,Urbanization,2003-2008
z11,Ojha et al.,2020,32.25346,-110.91179,North_Am,USA,"Tucson, AZ",3,NA,Groundwater,2014-2018
20,Finnegan et al.,2008,47.6062,-122.3321,North_Am,USA,"Seattle, WA",3,NA,Groundwater,1992-2000
P13,Kaitantzian et al.,2020,37.953224,23.684702,Europe,Greece,Athens,2.75,5,Groundwater,1992-2010
z22,Daout et al.,2017,31.646932,87.336803,Asia,Tibet,Northwestern Tibetan Plateau,2.5,3,Natural Compaction,2003-2011
139,Parcharidis et al.,2006,37.9839,23.7293,Europe,Greece,Athens,2.5,4,Groundwater,1992-2002
54,Wang et al.,2012,22.5455,114.0683,Asia,China,Pearl River Delta,2.5,6,Urbanization,2007-2010
z15,Li et al.,2020,43.397221,-80.311386,North_Am,Canada,"Ontario, Lake Erie Lake Ontario",2,3,Tectonic,2013-2017
z11,Ojha et al.,2020,35.106766,-106.62918,North_Am,USA,"Albuquerque, NM",2,NA,Groundwater,2014-2022
z05,Fischi et al.,2020,25.761681,-80.191788,North_Am,USA,"Miami Beach, FL",2,3,Urbanization,1992-1999
P11,Gido et al.,2020,60.677809,17.172382,Europe,Sweden,Gävle,2,6,Urbanization,2015-2020
200,Arma≈ü et al.,2017,44.4268,26.1025,Europe,Bulgaria,Bucharest,2,NA,Tectonic,1992-2014
AF01,Cian et al.,2019,6.529184,3.26918,Africa,Nigeria,Lagos,1.9,NA,Urbanization,2015-2018
AF01,Cian et al.,2019,13.453267,-16.575478,Africa,the Gambia,Banjul,1.4,NA,Urbanization,2004-2018
151,Raucoules et al.,2007,48.876,2.325,Europe,France,Paris,1,NA,Urbanization,1995-2003
111,Tosi et al.,2013,45.4371,12.3326,Europe,Italy,Venice,0.8,NA,Groundwater,2000-2010
60,W√∂ppelmann et al.,2013,31.2156,29.9553,Africa,Egypt,Alexandria,0.6,2,Natural Compaction,2003-2010
z19,Hammond et al.,2017,34.4,-119,North_Am,USA,"Mojave Desert, CA",0.5,1,Groundwater,1992-2009
